Year,WZ2008_Code,Economic_Activity,Employee_Size_Class,Enterprises,Local units,Persons employed,Turnover,Turnover per enterprise,Turnover per person employed,Input of goods,Gross capital formation,Disposal of tangible fixed assets,Gross yield ratio,Expenditure
2005,WZ08-45,"Wholesale, retail trade, repair of motor vehicles",1 to 2 persons employed,23986.0,24236.0,34466.0,7307.0,305.0,212.0,5345.0,140.0,35.0,26.9,6163.0
2005,WZ08-45,"Wholesale, retail trade, repair of motor vehicles",3 to 5 persons employed,22016.0,22591.0,80247.0,10543.0,479.0,131.0,7140.0,205.0,71.0,32.3,9401.0
2005,WZ08-45,"Wholesale, retail trade, repair of motor vehicles",6 to 19 persons employed,17151.0,18673.0,168436.0,31700.0,1848.0,188.0,21524.0,701.0,248.0,32.1,27993.0
2005,WZ08-45,"Wholesale, retail trade, repair of motor vehicles",20 or more persons employed,5475.0,13994.0,324422.0,113938.0,20811.0,351.0,84029.0,1415.0,660.0,26.2,104179.0
2005,WZ08-451,Sale of motor vehicles,1 to 2 persons employed,8887.0,9034.0,12081.0,4991.0,562.0,413.0,4057.0,92.0,23.0,18.7,4386.0
2005,WZ08-451,Sale of motor vehicles,3 to 5 persons employed,6438.0,6787.0,22712.0,5825.0,905.0,256.0,4629.0,110.0,50.0,20.5,5376.0
2005,WZ08-451,Sale of motor vehicles,6 to 19 persons employed,7322.0,7899.0,75600.0,21557.0,2944.0,285.0,16099.0,408.0,177.0,25.3,19457.0
2005,WZ08-451,Sale of motor vehicles,20 or more persons employed,3815.0,8676.0,222002.0,92346.0,24203.0,416.0,70028.0,1118.0,610.0,24.2,84627.0
2005,WZ08-4511,Sale of cars and light motor vehicles,1 to 2 persons employed,8887.0,9034.0,12081.0,4991.0,562.0,413.0,4057.0,92.0,23.0,18.7,4386.0
2005,WZ08-4511,Sale of cars and light motor vehicles,3 to 5 persons employed,6438.0,6787.0,22712.0,5825.0,905.0,256.0,4629.0,110.0,50.0,20.5,5376.0
2005,WZ08-4511,Sale of cars and light motor vehicles,6 to 19 persons employed,7322.0,7899.0,75600.0,21557.0,2944.0,285.0,16099.0,408.0,177.0,25.3,19457.0
2005,WZ08-4511,Sale of cars and light motor vehicles,20 or more persons employed,3815.0,8676.0,222002.0,92346.0,24203.0,416.0,70028.0,1118.0,610.0,24.2,84627.0
2005,WZ08-4519,Sale of other motor vehicles,1 to 2 persons employed,,,,,,,,,,,
2005,WZ08-4519,Sale of other motor vehicles,3 to 5 persons employed,,,,,,,,,,,
2005,WZ08-4519,Sale of other motor vehicles,6 to 19 persons employed,,,,,,,,,,,
2005,WZ08-4519,Sale of other motor vehicles,20 or more persons employed,,,,,,,,,,,
2005,WZ08-452,Maintenance and repair of motor vehicles,1 to 2 persons employed,9657.0,9696.0,14384.0,1176.0,122.0,82.0,467.0,28.0,9.0,60.3,770.0
2005,WZ08-452,Maintenance and repair of motor vehicles,3 to 5 persons employed,11697.0,11824.0,43949.0,3134.0,268.0,71.0,1379.0,75.0,15.0,56.0,2508.0
2005,WZ08-452,Maintenance and repair of motor vehicles,6 to 19 persons employed,7303.0,7744.0,67772.0,6221.0,852.0,92.0,2869.0,247.0,61.0,53.9,4958.0
2005,WZ08-452,Maintenance and repair of motor vehicles,20 or more persons employed,1056.0,2098.0,43091.0,6052.0,5733.0,140.0,2949.0,127.0,31.0,51.3,4913.0
2005,WZ08-453,Sale of motor vehicle parts and accessories,1 to 2 persons employed,4080.0,4137.0,5963.0,882.0,216.0,148.0,645.0,13.0,2.0,26.9,784.0
2005,WZ08-453,Sale of motor vehicle parts and accessories,3 to 5 persons employed,2748.0,2821.0,9652.0,1058.0,385.0,110.0,742.0,10.0,3.0,29.9,1021.0
2005,WZ08-453,Sale of motor vehicle parts and accessories,6 to 19 persons employed,1976.0,2276.0,19865.0,2934.0,1485.0,148.0,1846.0,41.0,7.0,37.1,2673.0
